CKS1B	STAT3
ACTR2	CLTCL1
AP2A2	SYT9
ATP6V0A2	ATP6V1C2
MCM4	PSG11
BCL6	BCOR
BGN	DSEL
ATP6V0A2	ATP6V1C1
CBX1	H3-3A
CBX1	H3-3B
ERI1	EXOSC10
SDCBP	TGFA
AP2A2	SYT1
CCNA1	H1-1
AP2A2	SYT2
IL12RB1	SLA2
CENPP	DIAPH2
CRNKL1	DHX9
OR4C5	REEP1
DDX21	EP300
FFAR2	NPY
COPE	KLC2
H3F3AP6	YWHAE/FAM22A FUSION
ACVR2A	CFC1
POLR2G	RNMT
COPE	KLC1
CCT3	CDK9
CCNC	TAF1
DDX3X	USP9X
BTC	NECAP1
HLA-F	NFKB1
CTBP2	HDAC8
GRB2	RB1
ATP6V0A2	ATP6V1B1
ATP6V0A2	ATP6V1B2
ACVR1B	ELAVL2
GRM5	TRPC1
NOP56	PES1
PFDN2	VBP1
CWC15	SLU7
DLGAP1	NRXN1
DLGAP1	NRXN2
DLGAP1	NRXN3
NAP1L1	SET
CEP57	NDE1
MYBL1	TSC22D3
DEPTOR	ULK1
DEPTOR	ULK2
OR4N5	PRKACB
PCDHB18P	PCDHB8
NUP88	SEH1L
IGLV3-25	V2-8
OR4N5	PRKACG
FCGR3A	FYN
PCDHB18P	PCDHB2
PCDHB18P	PCDHB3
PCDHB18P	PCDHB4
CTBP2	HDAC1
PCDHB18P	PCDHB5
ASIC5	STOML3
CTBP2	HDAC2
PCDHB18P	PCDHB6
CTBP2	HDAC3
OR4N5	PRKACA
PCDHB18P	PCDHB7
CNTFR	JAK1
CNTFR	JAK2
PIK3R2	SOS1
CNTFR	JAK3
HERC2	RPS27A
ACTN1	COL13A1
MAP2K2	SHC1
RPGRIP1L	SUFU
PDCD4	PSEN2
FOSL1	TCF7L2
HES4	ZBTB7A
IL12RB2	PIK3CA
HSPA8	PCBP1
HSPA8	PCBP2
ATF2	BATF3
EXOSC6	TNPO1
OR2T12	PRKACA
OR2T12	PRKACB
RPL22	RPS4Y1
HIST1H2BD	HIST2H2BC
HIST1H2BD	HIST2H2BD
ANP32A	TNFSF13
HIST1H2BD	HIST2H2BE
OR2T12	PRKACG
HIST1H2BD	HIST2H2BF
ATR	MSH2
SLF1	SMC6
BMP7	PAX5
APOB	CTTN
E2F4	ZWINT
FNBP1L	UBB
FNBP1L	UBC
FOSL1	TCF7L1
CSTF3	EFTUD2
IQGAP1	RHOC
IL11	IL2RA
IL11	IL2RB
B4GALT1	SRF
HIST1H2BD	HIST2H2AB
HIST1H2BD	HIST2H2AC
IL11	IL2RG
SMARCD1	TADA2B
DAB2IP	RIPK1
HSPA8	SQSTM1
FBXW12	GPS1
NOP14	TBL3
IQGAP1	RHOA
IQGAP1	RHOB
CDC20	MXI1
IGLV1-40	SYK
MSH2	TFCP2L1
NAP1L1	SSB
CD22	IGHV7-81
NMUR2	OPRM1
CKAP5	ODF2
CCNK	YY1
ARF1	COPA
PIK3C2G	PLCG2
CENPL	ZWINT
PSMD5	PSMF1
