B1AA16	B7ZBM8
G1UI19	Q96HX7
A0A087WVQ6	O43747
B2R7T8	F8W1Q9
K7EIT4	P63104
H0YKZ8	P31150
P40818	P63104
B3KQV6	Q15172
B3KQV6	Q15173
Q86TX4	U3KQK2
G1UI19	Q96GW1
B4DRT3	Q8WUW7
A0A087WVQ6	O43837
A0A494C1B7	Q9BS79
E5RJW4	Q6P151
Q7L4N0	Q86U12
Q7L4N0	Q86SX1
Q9H4B6	Q9Y240
F8VV52	P60321
B2R7T8	F8VS81
P05023	P19438
B4DNT1	G8FSY7
F6RFD5	Q9BYX7
P04179	P13929
P11021	Q02363
B4DXE0	Q7KZS0
C9J0E9	C9JLS9
C9J0E9	C9JLV5
H0YJZ6	Q8TC59
Q8N5Z9	Q9UI12
B4DRT1	J3KT85
A0A0G2JS82	J3QL20
P20674	Q8TBT6
Q6IAR4	Q8WWS9
B7Z632	Q96F82
P02778	P05412
P08729	Q6VMQ6
F5H459	O43747
M0R1L7	M0R1T5
Q6IAR4	Q8WW55
P24941	Q8WWL7
P61803	Q07820
O15054	Q92922
A0A0G2JP31	P14625
P13010	P17542
P55773	Q9NPB9
A2IDB2	C9J038
P24941	Q99729
P33992	Q8N7F5
A0A2R8Y7E9	A0PJ59
A0A087WU64	E9PIQ6
E7ET07	P49450
A0A2R8Y5S3	B7Z2E6
A0A494C0C9	A1E282
Q06609	Q8NFZ0
P07948	Q13444
O60832	Q8NI36
A0A494BZY1	A1E282
P26038	P27797
Q8NF99	Q8TF39
P52292	Q04206
P78344	Q9NYF8
G3V5A2	H3BTA2
A0A494C0R8	B4DGL0
Q10587	Q16520
Q10587	Q16534
P49682	Q9Y6G1
P07948	Q13263
G3V2W4	Q15657
A8MUD9	Q5VWC4
B3VCF6	Q9BYX7
E5RJW4	Q6P2Q9
P07948	Q13177
P08253	P08572
A8K4A8	J3QSA9
A8K4A8	J3QSE0
Q6A1A2	Q9NZJ5
O15235	P57086
A0A0G2JRX2	Q06787
A0A2R8Y7G6	E5RHT3
J3QSA9	Q05CW6
P18084	Q96AC1
E7EX95	P81877
B2RDG0	P43686
A0A2R8Y644	O75909
P23246	Q08170
P24941	Q99523
B4DUB2	Q659D3
A8K4A8	J3QQM1
P08581	P20936
F8VS81	I3L4N8
J3QSA9	Q05BX4
A8K4A8	J3QRR3
B2R8A9	C9J634
F8VS81	I3L3I0
A8K4A8	J3QRW1
F8VS81	I3L3R2
P51003	Q02447
G3V5T8	Q8IWQ1
G3V5T8	Q8IWQ2
I3L2W9	P54792
A3KMG8	D2KFR9
A8K4A8	Q53HB3
C9JI87	H0YIV0
A0A2R9YJI8	P28845
E9PH38	E9PQN5
P04179	P15121
B7ZA86	Q92574
A0A1W2PNS2	A6NEM5
A0A494C1M1	B7Z7X2
P40818	P62993
F8VV39	Q02241
O94916	Q9Y258
E7EVT8	Q86Y82
G3V5A2	H3BV22
J3QQM1	P25787
J3QQM1	P25786
J3QQM1	P25789
J3QQM1	P25788
P33991	Q6IBJ0
P15927	Q9Y5B9
B7Z9N3	Q9NTC4
Q07817-3	Q92843
P07948	Q13887
E5RH56	Q59F49
E9PH38	E9PNY3
A7VJS0	Q13507
A8K4A8	J3QLH6
A0A494C1M1	B7Z7U6
A0A494C1M1	B7Z881
Q13523	Q8WWY3
B3KVF0	K7EKF3
P00338	P07339
