J3KQE5	Q6PKD4
Q8WUQ7	Q96RU8
P05023	P19438
P22415	Q09472
P05412	P17096
F6RFD5	Q9BYX7
O95721	Q6LEU0
P61086	Q9BWF2
Q15742	Q8N8B7
P49327	P67936
C9J0E9	C9JLV5
Q8IVH2	Q9BZS1
F5H459	O43747
M0R1L7	M0R1T5
Q15008	Q59EL2
P61803	Q07820
O15054	Q92922
P13010	P17542
P55773	Q9NPB9
P24941	Q99729
P33992	Q8N7F5
P11021	Q00987
Q15008	Q59G89
A0A087WU64	E9PIQ6
Q15008	Q59GH5
Q96NX8	Q9NRW7
Q06609	Q8NFZ0
P07948	Q13444
Q53HJ0	Q96DE8
O00418	Q15418
O75116	P15153
Q10587	Q16520
Q10587	Q16534
P14373	P19474
P07948	Q13177
A0A0D9SG72	P61266
Q6A1A2	Q9NZJ5
J3QSA9	Q05CW6
P18084	Q96AC1
B2RDG0	P43686
P23246	Q08170
O14980	P48431
F8VS81	I3L4N8
J3QS84	O43242
J3QSA9	Q05BX4
Q58WW2	Q93079
B2R8A9	C9J634
F8VS81	I3L3I0
F8VS81	I3L3R2
I3L2W9	P54792
P06748	P49711
P06748	P49736
P10275	P35663
P37023	Q8N6C5
E9PH38	E9PQN5
O14980	P48552
P04216	P09619
B7Z4B6	Q9P2Q2
O00571	P0CG48
J3QQM1	P25787
J3QQM1	P25786
J3QQM1	P25789
J3QQM1	P25788
P50402	P62258
P07948	Q13887
E9PH38	E9PNY3
Q02543	Q9UHA3
A7VJS0	Q13507
O43236	Q6ZU15
P27824	Q07954
P42338	P84095
A0A087WZZ9	B3KM49
O14682	P62877
B4E112	F1BXA6
O43638	Q93062
O15014	Q9Y466
M0R1S0	Q9BXS5-2
F6SFB5	G3V532
P61201	Q8N9M2
O14653	Q9NZ43
P61981	Q5VWU8
P61981	Q5VWV2
F6SFB5	G3V3Z2
Q15714	Q9HB58
Q53HV2	Q9H369
Q15714	Q9HCD5
O60832	Q8N3C0
B7ZLB1	Q16623
C9JJ47	Q92572
F8VSD4	H0YBX6
C9JTT7	E9PEP3
P41002	P53350
F8VSD4	H0YBP9
Q06187	Q9NR96
Q06187	Q9NR97
D6RDJ3	Q4QRK8
P05412	P18848
P19338	P51114
P19338	P51116
O15143	P15882
D6RD63	P61201
Q93008	Q9BTA9
Q53HJ0	Q96N86
A0A0C4DGE4	Q96AJ9
B4DTM6	G3V4V1
H0YJT1	Q96IV0
B4DTM6	G3V3G5
Q7Z2G1	Q99525
A0A0D9SET9	Q59GA3
E9PNM7	Q562F2
P13010	P17980
P13010	P17987
B4DTM6	G3V2R6
B2RA26	H0YL50
O75083	P26038
Q02297	Q9Y468
B4DTM6	G3V1W4
O43524	P51610
O14980	Q9BUP3
B4DYT1	Q4G0Z9
G3V532	P59780
A0A087WZN1	B7Z9J8
F8WAM2	Q5SZW8
F8WAM2	Q5SZX6
F8WAM2	Q5SZX9
O00268	P05412
H0Y5Q7	H7C1W2
B4DSZ1	Q6LEU0
P08865	Q9UHA3
Q01826	Q8N108
P25445	Q9H422
A0A087WYL6	Q59EQ2
D6RFN0	J3QS13
D6RFN0	J3QS84
D6RFN0	J3QS88
D6RFN0	J3QRY4
B4DEN9	Q9Y2I8
Q58WW2	Q96A08
Q01826	Q8N344
E7ENZ3	F5H726
Q13367	Q92572
Q3KNV8	Q8N488
P23769	P25788
B3KWV6	Q5XG97
F5GZI8	Q5SZW8
F5GZI8	Q5SZX6
F5GZI8	Q5SZX9
C9J2Y9	F8WDV1
Q14258	Q53GS9
B3KQV6	Q16537
B7Z425	H0YJY1
B4DU38	E9PF84
B7Z425	H0YJS6
P00367	Q6NYC1
Q00610	Q96P70
E9PLL2	Q9BQC3
O95718	Q8N344
A8K9K3	B2RBL9
E7ENZ3	F5GZ03
D6RFN0	J3QLT0
C9JEN4	F6V107
B4DJX9	P32856
O15169	Q9NYF0
Q6P186	U3KPT7
P51957	Q9Y6E0
P09486	P20908
D6RFN0	J3QL53
H0YJS6	Q6LEU0
E7ENZ3	F5GZI8
D6RFN0	J3QLE8
Q96J94	Q96JY0
C9J999	Q53S54
Q5VTD9	Q8IXK0
A0A0B4J207	B4DP31
Q9H1Y0	Q9UGI9
Q9H1Y0	Q9UGJ0
E7ENZ3	F5H136
Q58WW2	Q969Q1
H7C3C7	Q2TAB5
Q00610	Q96CV9
B7Z1Q4	G3V5J6
P49736	Q9NXL9-4
P50402	P63267
O43597	Q15811
Q9H1Y0	Q9UK73
B7ZAR1	E7ERF2
Q02543	Q9Y3B7
Q02878	Q8TD47
B7Z1Q4	G3V3X7
Q00610	Q96FJ2
Q5VVX9	Q9Y3C5
Q02543	Q9Y2R4
B7ZA74	Q9BQI9
Q02543	Q9Y2X3
A0A0S2Z5H5	Q9H9H4
P55884	Q24JU4
A0A087WYL7	P24928
Q9NRZ9	Q9NZI6
G3XAN3	Q4G0Z9
Q9NWB1	Q9Y6R0
B7Z1Q4	G3V4P7
E7ENZ3	F5H676
E9PLL2	Q9BZG8
E7ENZ3	F5H282
P0CG48	Q5NUL3
Q5VVX9	Q9Y508
A0A024R7U6	Q4G0Z9
A0A087X0G7	B3KRB7
Q96GF1	Q9BY10
E5RFJ8	Q8NHX6
O75469	P48443
P28360	Q04724
P28360	Q04727
P15056	Q3V6T2
A0A1B0GVQ5	B7Z425
B7ZAR1	E7EQR6
P19235	Q92835
B7ZA10	C9J8Y3
P61421	Q6QBN5
P61421	Q6QBN8
D6RFN0	Q53GN6
B7ZBM8	H3BV99
O75461	Q9UBC3
D6RFN0	Q53HJ0
B7ZA10	C9J9Z8
H3BV30	M0QYZ2
P63208	Q9P2G9
H3BV30	M0QZ21
B7ZBM8	H3BU86
B2R7R5	O60256
Q13547	Q7Z3K6
Q13547	Q7Z3B4
P48729	P62140
P51449	Q8WYA1
A0A096LPC8	Q9BRN2
H0YJC4	P28066
H0YJC4	P28070
O95721	Q6NSC7
O95243	P46100
P62913	Q9Y2X3
P09467	Q12913
I3L4G9	Q53FW2
P62913	Q9Y3B7
Q86U86	Q9P2D1
B7ZA10	C9J5Z0
Q13547	Q7Z589
E9PD53	O95347
O14727	Q9NQS1
M0R0Y3	Q9Y230
M0R0Y3	Q9Y265
P11021	Q04206
A0A087WV74	A0A0S2Z4Q4
O14640	P32121
B7ZA10	C9J0T2
P17980	Q5U0A0
B7ZA10	C9J1M7
H3BV30	M0R1S0
P39656	Q9NRP0
B7ZBM8	H3BM38
O00470	Q92826
B7ZBM8	H3BP15
Q92934	Q9UMX3
P09619	Q15654
B7ZBM8	H3BNE1
P51114	P51116
H3BNE1	H3BU86
P46439	Q03013
B7ZA10	C9J3Y4
B4DRZ6	J3KS95
J3QQM1	P28066
J3QQM1	P28070
B7ZBM8	H3BR18
A0A024QZP7	Q9Y221
B7ZBM8	H3BR99
B7ZBM8	H3BQY9
Q13330	Q7Z3K6
O00268	P06493
H7C5A0	Q59GW7
B7ZBM8	H3BPJ0
B7Z1K2	Q9BRX2
Q13724	Q14568
P11021	Q04917
Q14469	Q9UBP5
E5RFJ8	Q8N7F5
P62837	P98170
P33992	Q92771
P62249	Q92901
H3BV30	M0R0N4
P09619	Q15262
P24863	Q96SB4
O15205	Q6PD62
P25788	R4GNH3
E9PPY7	Q96Q33
Q02878	Q96L21
A0A0A0MS15	P01834
P06239	P14317
Q0VAK6	Q2TBA0
P24941	P41002
Q58FG1	Q9HAV0
Q15014	Q9NVP2
A0A0A0MS15	P01601
A0A0A0MS15	P01602
A0A0A0MS15	P01611
Q15014	Q9NVV9
E5RHF2	J3KTB0
P98175	Q13123
P01024	Q13219
O60739	P62899
P98175	Q13247
O00212	O60610
Q53FT8	Q6IB71
B1AHB1	H0Y8E6
H3BUN9	Q6PK37
P21980	Q04206
P07948	Q15642
E5RHF2	J3KRE8
E9PPY8	P61966
J3QL53	Q96N86
P09619	Q13442
E5RHF2	J3KRJ4
E5RHF2	J3KSA5
A0A0A0MS15	P01599
A0A0A0MS15	P01597
P24864	P62136
B4DSC9	Q8NDH6
C9J911	Q7Z6P5
A6NLC8	P52657
Q3B770	Q86UM1
P58753	Q6ZUJ8
O60832	Q92841
E9PNM7	Q58EX4
A0A087WYL6	Q4VY19
P05388	Q8TEM1
F5GY37	Q6PUJ7
Q13490	Q9Y4K3
A0A024QZR3	Q9NSX9
P60321	Q9Y295
O43167	Q08117
H0YL72	O43837
P51884	P78504
P35557	P49840
Q05BS0	Q96G38
Q15910	Q8IXJ9
O60739	P62249
O60739	P62263
O60739	P62273
O60739	P62280
P62875	Q8N9N5
A0A1W2PQE7	Q9Y2L6
J3QS13	P51665
Q02878	Q969Q0
E9PM09	P50990
E9PM09	P50991
P27348	Q6UXY1
P68400	Q9NSI6
P01730	P06729
Q58FF7	Q9BV61
P11021	Q03135
Q58FG1	Q9H6X9
P68400	Q9NR09
B5ME19	O00303
P68400	Q9NS69
P68400	Q9NRY4
P42226	Q13547
O00311	Q8WVB6
Q58FG1	Q9H173
P35998	Q7L5Y9
P22087	Q9H649
P35998	Q7L5N1
P48729	P61201
P06400	Q92833
P68400	Q9NYF0
P68400	Q9NYF8
Q00978	Q04741
P06576	Q16891
P61966	Q8IY97
P68400	Q9NVV9
P42226	Q13952
P68400	Q9NVP2
P04155	P25054
Q6PJZ4	Q9HD42
P50990	Q9NV96
B7Z5D4	Q8N4C7
H0YJT1	Q99460
P61266	Q8N4C7
Q02846	Q16661
Q06609	Q92698
P01106	Q9NPF5
P09619	Q14449
Q96KR4	Q9H307
K7ELW9	P54198
P01730	P06127
Q00978	Q04206
P42262	Q96A65
A0A0K0K1I8	B4DSX3
A0A0K0K1I8	B4DSZ1
F8VQ14	Q6IBT3
J3QRY4	Q53FV3
B4DEA3	Q5JUH4
A0A0K0K1I8	B4E3U3
P11586	Q9Y4K3
Q04864	Q8TBZ8
P42226	Q13287
Q07866	Q15326
H0YJS8	P60900
P10415	Q92843
P02768	P55036
O95677	Q13285
P62805	Q6DRA6
Q15648	Q99814
P46087	P56537
A8K4G7	Q9UQN3
Q8N122	Q9Y4R8
F5H3X6	Q6PUJ7
Q00610	Q99460
P01834	Q95604
Q8N122	Q9Y487
Q15648	Q8WTS6
B4DII5	J3QR48
P19652	P30041
P11233	P24385
Q16623	Q9P253
B4E1U9	F5H7S7
B7Z4B6	Q9UJU1
B7Z4B6	Q9UJZ2
B7Z4B6	Q9UJZ6
B7Z4B6	Q9UJZ8
B7Z4B6	Q9UJZ7
P61201	Q93008
B7Z4B6	Q9UK20
C9JJ47	Q96PC3
P60983	Q8IUH5
Q16623	Q9P2W9
Q14166	Q15843
F8W9Z6	O14653
O60885	P49336
P11274	P31947
B4DJ86	B4E069
P08238	Q86Y82
E9PF88	Q5JNZ6
A8KAQ7	Q2M2R1
P10415	Q969H0
P06239	P15153
P08631	P32927
D6RGH6	Q5JVS0
E9PNM7	Q59EF0
O14796	Q9UIB8
E9PNM7	Q59EK0
E9PNM7	Q59G20
P62241	Q9H4L4
E9PF88	Q5JP02
E9PF88	Q5JP01
B4DW05	E7ESE2
O00268	P08047
P09467	Q15831
Q04864	Q96ST3
A0A1W2PQE7	B2R6J2
P78368	Q96L96
G3V3T8	Q16864
P62805	Q6DN03
P05388	Q96L21
P02545	Q5JTV8
P08238	Q86YB8
P62191	Q8IWV8
P26599	Q96SB4
P08047	P68032
Q07960	Q12982
P02144	P10916
E5RHT3	O14653
Q58WW2	Q99877
Q58WW2	Q99879
Q58WW2	Q99880
