J3KQE5	Q6PKD4
P51159	Q8IYJ3
A8K194	K7ES22
O60260	Q9UMX3
O75925	Q15047
P52732	Q9UPY8
E9PK25	Q96FU6
P62701	Q9NYH9
Q9H0D6	Q9Y4W2
P49848	Q33E94
P16415	P47974
A8K8B0	Q59EF0
O75843	P56377
I3L0K7	Q96GW1
A8K8B0	Q59EK0
Q4ZG57	Q8N7F5
P16455	P30044
P24539	Q53HH2
Q16716	Q504U3
P07948	Q86WV1
I3L0K7	Q96HX7
O43741	Q8N9N5
P17844	Q9UHV7
E9PAV3	P42704
B7Z2E6	H0YB80
O14654	Q13418
B3KQV6	Q86U13
Q15047	Q8NF64
Q13573	Q9ULJ6
Q13573	Q9ULI0
Q8N9N5	Q9BQI9
B7Z360	H0YEW0
J3KSA5	J3QS13
A8K8B0	Q59G20
J3KSA5	J3QRY4
P60981	P63261
C9JTT7	P35250
C9JTT7	P35251
Q96GM5	Q9BUE0
A0A1B0GUB2	A8K6X9
P62495	Q8N543
Q2VYF4	Q6P1Q0
Q8WVB6	Q92771
Q8WVB6	Q92878
B4DUQ9	Q9UJA3
P61353	Q92841
P31483	Q8NC51
B7Z689	Q6ZNJ2
P05981	P0CG48
C9JLS9	J3KN29
Q15369	Q5T2B5
Q15369	Q5T2B7
P61353	Q92901
P14625	P38646
Q00987	Q02790
O60563	Q15596
Q14568	Q9H173
O60563	Q15545
O60563	Q15554
Q09472	Q14872
P63000	Q9NQ31
Q86VI1	Q8TAR2
Q07866	Q86YS3
K7EQ16	Q5JUH4
P01584	P24158
Q13573	Q9UER7
E7EX29	G9K388
E7EX29	G9K389
Q13454	Q8TCJ2
Q09472	Q14839
O95251	P21127
P08648	P29279
A8K521	Q9NXL9
A0A087X1K7	O14920
Q14137	Q6DKI1
P42345	Q8TAI7
C9JLS9	J3KRP2
O60656	P22309
H3BNF0	H3BNS4
O75494	Q96SB4
P00533	P42685
P00533	P42684
Q14568	Q9H6X9
B3KQV6	Q86XZ2
O00459	Q96ED9
Q09472	Q15650
D6RAX7	J3KRE8
Q09472	Q15699
D6RAX7	J3KRJ4
H3BQY9	O75558
O60248	Q14004
P50991	Q12931
O43463	Q13185
B4DMA2	Q59FC6
Q4ZG57	Q8NHX6
D6RAX7	J3KSA5
O75925	Q16181
O94855	Q12846
O60248	Q14192
B4DMA2	Q59EK6
Q4G0F5	Q53FR4
O14617	Q8N4C7
A0A0S2Z438	A8K3I2
O43237	O60271
B4E092	E5RG31
H0YJL0	O60271
B4E092	E5RFJ8
Q59H77	Q7Z759
P31942	Q05519
M0QYV0	Q9BUB5
P38159	P62633
B7Z6L9	Q13488
Q969T4	Q9P0P0
C4P0D6	H7C1D4
Q86V28	Q92572
O43639	Q05193
B4DP31	D3YTJ7
B4DLA6	H7BZ91
Q14568	Q9HAV0
Q15788	Q9HD15
B2RE64	O14662
Q96GM5	Q9BQ87
B7Z302	Q9UJM0
B7Z302	Q9UJM1
O43463	Q13547
P19878	P30041
Q15436	Q8N4C7
Q15047	Q8N2W9
D6RAX7	J3KTB0
Q15051	Q96FJ2
P19429	Q13563
H3BT25	Q16716
H3BT25	Q16715
O95150	Q9Y6K9
O95150	Q9Y6Q6
Q38SD2	Q96PY6
A0A0S2Z492	E5RG31
Q12959	Q9Y297
P35590	Q02763
J3KSA5	J3QKR0
O15105	Q12857
A0A0S2Z492	E5RFJ8
O60500	P07947
O76075	P29966
B7Z3M9	C9JGT8
P40199	Q06124
A8KAN3	B7ZAY4
C9JH72	H7C1P0
H0YJS8	Q05BX4
B4DS46	P49736
Q02388	Q13751
P01584	P23946
C9JPS2	J3QR36
A0A087X2J6	Q96NA8
P00441	P02511
P13073	Q99798
B7Z3M9	C9JJ47
P11487	P19387
Q58FF3	Q7L3B6
C9JXZ7	H0Y9P8
B2R8F2	B7Z571
P22460	P35609
C9JH72	H7C596
A0A1U9X7J2	Q8NEV1
C9JH72	H7C5A0
C9JH72	H7C5G4
C9JH72	H7C5P4
P00533	P43487
I3L0K7	Q8TBA7
P00533	P43403
B4DZ95	Q16187
Q86V97	Q96GG9
P05549	Q96N77
A8K070	Q9BT78
O60684	P18848
Q86VI1	Q96A65
O15530	Q96SB4
B4DS46	Q9BWF4
O14924	Q02750
O60238	P0CG48
B2RC50	Q06265
P78337	Q9Y5V3
O95625	Q9H9Z2
P32004	Q05397
O75081	Q9UFB7
Q6DKI9	Q96HT3
H0YIV0	Q9BV61
P05106	P17813
Q9BXS5-2	X6R390
P78337	Q9Y2Y4
H0YJS8	Q05CW6
A0A087X2J6	Q96NX8
Q92750	Q96EB1
O00487	P31946
O00204	O43704
P58876	Q5QNW6
A8K070	Q9BX72
P41743	Q05513
B4DIM6	H0YL95
B2RE64	O15400
Q6ZNA4	Q9BZR9
B4DIM6	H0YK95
B4DIM6	H0YK94
P23467	P28482
Q93074	Q9Y3Y4
O95232	Q13243
B4DIM6	H0YJ08
B4DIM6	H0YJ47
Q09472	Q16619
E9PK25	Q8WVW5
P47755	P60709
B7Z3M9	C9JTK4
O14662	Q9P2W9
P14859	P55347
A0A0J9YW33	A8K6M4
Q8WTS6	Q9C005
B4DIM6	H0YEG0
Q96AJ1	Q9Y6A4
B4DIM6	H0YDE9
Q969R8	Q9Y664
P62263	P62633
O00590	Q16627
P45973	Q13111
O00590	Q16663
Q01094	Q15744
P53365	Q6LCT9
P25205	Q9Y5B9
P06401	Q05086
P53365	Q6LCR0
P62487	Q01844
O15105	Q13608
Q53HB3	Q75L23
P45973	Q13263
A0A087WUL9	A8K070
P45973	Q13547
Q86UX7	Q96AC1
Q8IWV7	Q8NFZ0
B4DYT1	C9J8M6
O95232	Q13523
P15259	P21695
P20823	Q9H0N5
B7Z2D5	B7Z438
P19838	Q9BSK4
P15260	Q13464
O15350	Q9NS56
B3KT37	E9PG15
K7EM20	Q8IX27
K7EM20	Q8IX28
K7EM20	Q8IX26
P50222	Q13526
P20226	P61978
P32119	Q13162
Q6N021	Q96ST3
B3KT37	E9PD24
P10809	Q8N2I9
C9JGV6	F5H018
P05787	P62191
P05787	P62195
Q01201	Q9H9S0
B3KNZ4	Q05BS0
O14965	Q13123
K0A7K7	Q6PK50
Q8NC69	Q9UJX2
P16104	Q9H9F9
P21589	P61371
P16104	Q9H9Q4
O14503	P51449
Q9BUN5	Q9BXC9
P16104	Q9H967
P63167	Q969H0
B2RBL9	M0QZQ6
B2R6N0	Q13098
Q96TA1	Q9BZS1
Q14195	Q9BPU6
H3BR99	X5D7S1
B2RCG9	Q562F2
B4DSQ5	B4E205
P36406	Q9BWF2
A5GZ75	F8W1Q9
B4DSQ5	B4E2E1
P28062	Q92985
Q96QE3	Q9UIG0
F6SFB5	Q9UPM8
O75791	P00533
O75081	Q9Y2D9
P47755	P60953
O95613	Q9Y6G9
A5GZ75	F8VS81
Q01201	Q9H0A8
P22314	P55072
B4DSQ5	B4DTM6
E9PQ35	P48643
A8K781	Q6IB71
B7ZAR1	Q5SZX6
B7ZAR1	Q5SZX9
B7ZAR1	Q5SZW8
B4DY87	B7Z438
B2R6H7	Q96QB7
P49736	Q8NHX6
Q6IS14	Q9UN86
O43918	Q9Y230
Q7KZF4	Q7Z3Z3
Q7KZF4	Q7Z3Z4
P05187	P10696
H3BV30	P61966
H0YB80	I3L3T1
P19784	Q00526
A0A0J9YW33	A8MZ54
P19784	Q00536
B3KX11	F8VQ14
A2RRC9	Q9UJM0
A2RRC9	Q9UJM1
B7Z437	E9PNV3
O00421	P10147
O43463	Q15910
A0A087X059	H7C452
O75530	P10412
O95232	Q14498
B5BU24	Q5VWV2
B5BU24	Q5VWU8
P04271	Q92597
P07900	Q9UBW5
O43474	O60216
K7EPG4	Q8N8Y2
P42574	Q06609
J3QL26	Q13362
B3KWV6	F8W050
O15126	O15127
P07900	Q9UBF8
Q59G51	Q9UL62
O95377	P08034
P35251	Q13547
B7ZLB1	P32856
P49841	Q5S007
P43627	Q9BZM6
P43627	Q9BZM4
P56962	P60880
B7Z437	E9PQ82
C4P0D6	Q15631
O76064	Q9Y6D9
A0A0A0MTB8	Q3KRB0
O00716	P14635
A8K1J3	Q9BQI9
A0A0G2JRF9	H7BZG6
P19387	Q96T76
A0A0G2JRS3	B7ZB52
P50991	Q14568
O60260	Q9Y3I1
O43639	Q07666
P50222	Q12888
A0A0S2Z492	B7Z8Z6
P45973	Q14839
O00487	P35609
P62995	Q15233
P07900	Q9UKP3
Q01201	Q9GZQ3
P20749	Q09472
A0A0S2Z5Y6	Q96BW1
O95232	Q14684
P47755	P61160
P47755	P61158
P47224	P84085
O75530	P10599
O95232	Q14966
P07900	Q9UIV1
O14578	P04049
Q00987	Q04206
P07900	Q9UHD1
B4E092	B7Z8Z6
O00422	P35226
C9J168	C9JDH0
A8MUD9	P83731
C9J168	C9JDU5
Q13573	Q9Y5B6
P29033	P48165
P07900	Q9UNS2
E9PQ35	Q9BU08
P54652	Q9HCE5
O75446	O95983
B4DN01	Q7L5N1
P17844	Q9Y2W1
Q9NWX5	Q9UQQ2
O15194	Q9GZU7
P04004	P08185
O14503	Q9Y5V3
B3KX11	F8WAM2
E9PMP2	Q9UJM0
E9PMP2	Q9UJM1
B3KXW5	H7BZG6
P00533	P45983
P00533	P45984
P00533	P45985
Q6S5L8	Q92835
Q86VZ6	Q9Y294
B4DHT9	Q8N9Z3
O00463	P43489
A0A0G2JRS3	B7Z853
P56693	P98177
B2R6N0	H7C3P9
C9J168	C9JJS3
B2R6N0	H7C3T0
P19387	Q96ES7
Q86VZ6	Q9Y4A5
B2R6N0	H7C531
C9J168	C9JKT9
O94986	O95835
P54132	Q96S55
P54132	Q96RR1
B1ALA7	E7EPA1
P63167	Q8TD26
O94855	Q13277
Q96C10	Q9UHD2
P15976	Q96MH2
O75586	P81877
C9J168	C9JNQ3
A0A0G2JRS3	B7Z3M9
C9J168	C9K0K7
H7C1D4	Q99598
B7Z4B6	E7EQR4
P61353	Q8TD47
P62995	Q13595
P62995	Q13523
O15350	Q9P1Y6
P17844	Q9Y6Q9
Q86V97	Q8WVZ9
B4DDJ7	E9PIW3
Q96AJ9	Q9H270
A0A0G2JRF9	H7C1E4
P50222	Q14119
B7ZLB1	Q7Z338
Q5T6S3	Q9H5I1
Q13573	Q9Y2W1
P62987	Q9Y4A8
P62987	Q9Y468
P62987	Q9Y3C5
O95816	P15927
P62987	Q9Y5A7
P62987	Q9Y4X5
P49736	Q8N7F5
J3KSA5	Q53HJ0
H3BNF0	H3BRE1
J3KSA5	Q53FV3
P17844	P50616
P40879	Q9H2B4
P45973	Q15022
A0A0G2JQA4	A6NH01
O15530	Q99471
P54652	Q9H0D6
H3BNF0	H3BQR2
J3QL26	Q14738
P49736	Q8N257
H3BRW9	Q499G7
P08727	Q9NYB9
B5BU81	Q6LEU0
O43463	Q14005
O75712	Q9NTQ9
P42574	Q07820
P62258	Q92619
O95232	Q15029
B1ALA7	E7EW35
P61353	Q96B26
O95232	Q15393
O75530	P11142
C9JE40	Q8IU60
O00487	P34897
P62987	Q9Y6K9
P62987	Q9Y6H5
Q4G0N8	Q96PN6
B5BUD2	Q59GW7
Q04206	Q7Z3K6
P54652	Q9GZV4
P46109	Q12774
H7C2Q3	P62333
A0A087X1K7	O15111
B4DM31	O60684
Q05D74	Q58F29
Q00987	Q05086
P27449	P60880
H7C2Q3	P62191
H7C2Q3	P62195
P62258	Q92828
B3KTA5	O95721
O00267	P53999
P05787	P62333
C9JE40	Q8IZH2
Q03154	Q15843
O00541	P46777
B7Z2D3	P61371
P31946	Q8NC51
Q15170	Q9Y4C1
O95999	P01137
B3KXW5	H7C1E4
P51159	Q8NEV8
A0A0C4DH29	P01834
P20962	Q16576
P78352	Q7LC44
E7EQR4	Q5T376
Q8N7R1	Q9UKX7
P61353	Q96L21
B2R6N0	Q15008
A0A024RAE6	Q13576
Q14204	Q9BVA0
P60604	Q00987
B2RDJ6	H3BNV7
P06241	P43699
O75022	P01893
P07339	P51148
P07948	P31994
O75618	Q9UPT9
C9J4M6	Q6ZPA8
O43707	P00533
A0A024RAE6	Q13177
A0A024RAE6	Q13153
H3BR36	Q92572
H3BM38	Q2TAB5
J3KQ69	Q53FG5
P43034	P61758
P56962	P63027
C9JW37	Q7L5N1
B2RD27	Q6IBN0
P23246	P26599
J3KQ69	Q53HJ4
P55210	P61289
P05549	P40305
B4DEA3	H0Y2P2
O00206	Q15628
Q06323	Q8NBZ0
B4DEA3	H0Y3Y9
F5H676	F8WAM2
E7EQ34	P61266
O00206	Q15399
O14965	Q15058
P06213	Q9UQQ2
B4DEA3	H0Y561
O00421	P13236
Q12824	Q14774
P62081	Q7L3B6
C9JNP9	Q8TAT6
P20226	P63279
P54198	P63272
Q96KQ7	Q9UBC3
J3QQV0	Q562F2
F8W9Z6	U3KPT7
B4DVK5	Q6ZMK4
O94855	Q16623
Q00987	Q06945
P32856	P61266
C9J168	C9JUN4
O00410	Q92844
P56962	P62820
P53567	Q10587
P53567	Q10586
A0A024RAE6	H7C1X3
P23193	Q02878
P58876	Q5TAQ9
J3KSQ2	O14964
P17844	P51858
O15530	P42345
P50914	Q9UNX3
Q16543	S4R3N1
P45973	Q16576
P21281	Q9BVC4
P09884	P24864
P08910	P21359
B2RE06	Q8TAR2
Q5T653	Q9UNX3
P54198	P62805
P35249	Q59GW7
O95232	Q16629
Q16706	Q9NYV6
Q9NZJ6	Q9Y2Z9
Q9NZJ6	Q9Y3A0
P63167	Q99471
H7C5Q9	Q8NB89
P46109	Q15303
Q16513	Q8N3U4
E5RHT3	U3KPT7
H7BZX6	Q9H270
P12757	P29590
B4DUJ4	H3BNI9
F5H676	F8VQ14
P57682	Q13501
P15408	Q10587
Q13418	Q16576
Q86V28	Q96CW1
P47755	P63261
P25054	P78352
P62258	Q8TAF3
P62258	Q8TEW0
P62258	Q8TEW8
A0A087WVV1	J3KRP2
A0A0B4J207	D3YTJ7
B4DUJ4	H3BSA1
J3QL26	Q15173
J3QL26	Q15172
P58876	Q5TEC6
B4DKR0	O95721
P16885	P41240
O60763	Q92734
B4DUJ4	H3BV19
H3BS13	Q6PK37
K7EM24	R4GN72
P15923	Q8IZM8
Q96CW1	Q9BXS4
P50991	Q15046
Q02548	Q9UH73
Q13610	Q9BQG0
P21359	Q05586
D6RAX7	J3QS13
D6RAX7	J3QS88
D6RAX7	J3QS84
A0A087WWM0	J3KP27
Q6ZNB6	Q99496
D6RAX7	J3QRY4
P06241	P42566
P32119	Q14689
O14531	Q9BPU6
P38936	Q99816
Q07866	Q7Z5Q8
Q9BR63	Q9Y285
P06241	P42684
Q14674	Q8WZ73
O75843	P59780
O00541	P49917
O00303	P25789
O00303	P25788
O00303	P25787
O00303	P25786
O14920	P48729
B4DP31	Q14558
A0A1B0GVQ5	X5D7S1
E9PI41	E9PPI9
P31946	Q92538
P20226	P62380
A0JLS5	Q15269
B4DP31	H7C540
P31946	Q92783
B4DEC2	H7C0D9
P05090	P48357
B4DTS5	H3BTM8
B4E0X6	H7C3T0
P15976	Q8WWY6
B4DTS5	H3BNT7
H0YJI3	O94973
A0A0R4J2F3	Q96HT3
O95619	P01106
A0A024R7U6	C9J911
A0A024R7U6	C9J8M6
O94855	Q15437
Q8N8V4	Q9Y6N9
P20226	P62258
O00541	Q9BZE4
P14174	P30046
P14415	Q5JTV8
Q13077	Q8IUC6
E7EX29	Q8IX26
E7EX29	Q8IX28
E7EX29	Q8IX27
B2RE64	B4DH37
P11021	Q6VVB1
B7Z1Y1	Q15369
B2RE64	B4DJX9
Q969T4	Q9UJV3
O75928	Q7KZS0
B7Z6L9	Q16864
B5ME19	O75821
O43597	P32242
B2R514	O00232
B2R514	O00231
Q15784	Q16512
B4DM48	Q92572
B2R514	O00487
B2RCG9	Q58EX4
A0A0K0K1I8	Q12846
O43463	Q16576
Q12824	Q13263
Q9NS63	Q9UJM1
Q9NS63	Q9UJM0
P35251	Q14966
Q969T4	Q9UNE7
B7Z8H0	C6EMX8
B2RE64	B4DE70
P07900	Q9Y239
P07900	Q9Y263
F8WE44	P40938
F8WE44	P40937
D6RAX7	J3QL53
D6RAX7	J3QLE8
D6RAX7	J3QLT0
B4DSK5	J3KTJ6
P54132	Q8WVB6
B4DS46	Q9H4N9
A0A024R7U6	C9K087
O75322	Q7L3B6
O14617	Q92572
P54132	Q99640
P55316	Q13547
H3BQB4	Q9HBG4
P51553	P62333
J3QL26	Q16537
G3V1A4	P63261
Q969T4	Q9UBS8
B4DSX3	Q9NRW7
O75022	P01730
P07948	Q7Z7G1
P56962	P61266
Q6ZNA4	Q9H992
H0YIV0	Q9H6X9
Q3YBM2	Q96HP8
P62701	Q9ULC4
P07900	Q9Y2I7
P06576	Q7Z4Y8
O95817	Q8IU85
K7EQ16	X6R5E5
A0A087X1K7	B4DP95
B7Z321	O60645
E7ERK9	Q9BPX4
O95817	Q8IVA1
Q6S5L8	Q8TDC3
P19784	Q04206
Q6NUR7	V9GZ54
J3KSA5	Q59GH5
P16520	Q6MZT1
K7EL71	Q9UQN3
Q13257	Q86Y33
O95619	P04198
J3KSA5	Q59EL2
Q14650	Q9Y2A7
O75791	P04626
B2RE64	B4DSZ1
B2RE64	B4DSX3
Q8IVI9	Q96LA8
P07948	P33993
H0YJI3	O95782
Q04759	Q13546
P18077	Q9H7B2
Q9NWB6	Q9Y6K9
P04406	P23284
B3KNN7	O00231
B3KNN7	O00232
P32745	Q14160
P00533	P49069
B1AKJ6	H0YE19
P00533	Q9BYD2
P01344	Q16270
P07900	P50990
P07900	P50991
Q6ZNA4	Q9HAU4
P32856	P63104
O94888	P63208
P30542	Q13255
B3KNN7	O00487
B2RE64	B4E3U3
P00533	Q9BW27
P49841	Q5VWQ8
B3KNN7	O00303
O75081	P54259
O43819	O75880
A1L167	P0CG48
A0A0K0K1I8	Q13277
B2RE64	B4DKR0
P00533	Q9BT67
B4E205	Q15437
B4E205	Q15436
A0A0K0K1I8	Q13190
P00533	Q9BRX2
O76064	P54132
P31947	P60709
P55316	Q14469
D6RAX7	Q53HJ0
Q99814	Q9BTT4
Q99814	Q9BUE0
P09486	P98160
O94769	P51884
B2RCG9	Q59EF0
D6RAX7	Q53GN6
P00533	P49790
A0A0A0MSS0	A0A0J9YW33
I3L0N3	M0R2M1
P43487	Q96QB7
I3L0N3	M0R213
P31483	Q96MU7
O76064	P55072
O43711	P08047
P62701	Q9Y2X3
I3L0N3	M0R0Y2
P62701	Q9Y2P8
H0YF10	Q59FW1
C9JTX5	G3V1A4
B2RCG9	Q59EK0
F8VRX4	H7C452
B4DU71	I3L239
P28062	Q96AZ6
P07951	P12814
B2RCG9	Q59G20
B4DU71	I3L0K7
P00533	P49407
A8K781	Q6MZI6
Q9H469	Q9HCE7
O43353	P60900
O00124	P55072
Q99814	Q9BXC9
C9JLS9	J3QLH6
C9JCK5	P43686
H3BP15	Q8N4C7
H0Y9J6	Q15437
Q02363	Q02548
H0Y9J6	Q15436
Q02363	Q02535
H0YKT8	P35998
P41182	Q9NRY4
Q8NHM5	Q96ST3
Q02556	Q13501
P23468	Q9NZN1
P48380	Q8HWS3
C9JLS9	J3QQM1
B4DHT9	Q8TBA7
O14776	Q8N2W9
A0A0D9SET8	B2R7T8
C9JLS9	J3QRR3
P62701	Q9Y4C8
O43156	Q9UK97
J3QQV0	Q58EX4
C9JLS9	J3QSE0
N0E466	P68400
C9JLS9	J3QSA9
C9JLS9	J3QRW1
P62701	Q9Y4W2
F8VXU5	Q4G0F5
Q13131	Q9NVV9
E5RIW4	E9PER7
Q14568	Q9NZL4
Q15399	Q9NR96
J3QSA9	P25786
J3QSA9	P25787
J3QSA9	P25788
J3QSA9	P25789
Q14789	Q9UEU0
P55196	Q92963
A0A087X2I1	A8K781
P55196	Q92997
F5GZI8	F8WAM2
P55160	P55851
E9PF88	H0YDK2
B1AP52	P27348
A0A0B4J207	Q14558
P49736	Q93079
B4DJ66	O00487
B4DJ66	O00303
P58546	Q04206
P07900	P51148
O75023	P29016
O75023	P29017
P62487	Q07666
Q59FM2	Q9UNX4
O14893	P09661
Q9BXV5	Q9H7Z5
Q59FM2	Q9UMS4
P10809	Q92843
Q53RR5	Q8TEW8
Q53RR5	Q8TEW0
P62258	Q96PU5
O43776	P07814
O00267	P57059
J3QLA6	Q13362
P07900	P51948
E9PKD5	H0Y2P2
P30291	P33552
Q15047	Q96RU7
P54259	Q9H0M0
B4DSW6	K7ES22
P07288	P20151
B4DMA2	P07900
P30153	Q13315
I3L0N3	M0R0I4
Q96EK4	Q9BT49
O75419	Q4G0Z9
I3L0N3	M0R027
O75530	P15311
I3L0N3	M0R058
O43353	P62987
E9PF88	H0YEU5
P06731	P13688
E9PF88	H0YF10
Q15019	Q9NVA2
O75618	Q9Y5Q9
O15164	P10827
A0A0B4J207	H7C540
E9PQ35	Q9H369
Q86V28	Q96PC3
C9JNH8	Q9BS79
C9J8M6	Q4G0Z9
I3L331	P11908
Q92800	Q9Y483
A4UCT1	P04406
B4DSW6	K7ELW9
B4DEW9	Q9UNM6
B4DEW9	Q9UNM7
B4DEW9	Q9UNS2
B4DVK5	P25205
F5GZI8	F8VQ14
O15164	P10276
P59074	Q96FZ7
B2RE06	Q96A65
B4DMT5	O00231
B4DMT5	O00232
A9QM74	O14980
B7ZA36	Q49AI5
C9J911	E5RFJ8
E7ERK9	P49770
C9JLS9	Q53HB3
B7Z5E4	P61266
B4DMT5	O00487
C9J911	E5RG31
C9JLS9	Q53GF5
O15530	P43686
A8K521	Q9UJA3
A0A140VJQ5	P36957
Q96GM5	Q9H944
O94941	Q9Y4K3
Q01151	Q92673
Q96GM5	Q9H981
E9PM69	P17980
O00238	Q8TDR2
B4DSW6	K7EIL9
O75155	P52630
P53350	Q13158
P53350	Q13188
O00303	P28066
O00443	Q13443
O00303	P28070
Q96GM5	Q9H3D4
A0A087WUD2	Q8N5H7
Q12824	Q155Q3
O00421	P13500
O00421	P13501
O00254	Q8IYL9
P28222	Q01718
P43405	Q6ZMC9
P53350	Q13526
Q15555	Q9UNS1
P62258	Q96EB6
A0A087WY10	A8K781
P62258	Q96EE3
O43242	Q13501
P48556	Q7L5N1
P47804	Q9UBD3
P10244	Q9NZI6
P04406	P21695
P53350	Q13617
P23246	P27694
P23246	P27695
Q15436	Q96NA8
A0A096LP55	P08574
P62258	Q96FC9
Q3MHB9	Q59G51
Q59G51	Q9Y210
Q96BK5	Q96EZ8
P23246	P27348
O15182	P51957
P53350	Q13416
P62258	Q96CW1
P05109	P80511
B4DMT8	E7ESK7
A0A087WZQ7	K7EQD6
P53350	Q13972
O15534	Q01844
B4DJ66	O00231
B4DJ66	O00232
Q15555	Q9UI95
Q14527	Q93009
Q12824	Q15022
Q59FN2	Q59FQ0
Q8WVB6	Q99741
E9PAV3	Q9BTA9
B4DMT8	E7EVZ2
P62258	Q96GX5
O43242	Q13098
P32856	P62873
A8K5S3	O75351
O75154	Q86YS3
B4DMT8	E7EX29
P23771	P56524
E9PKD5	H0YJC0
E9PKD5	H0YJC4
O15350	Q9UER7
C9JJ64	Q05D74
B4DJX9	B7ZLB1
Q8NHM5	Q99496
P31946	Q8TEW0
P31946	Q8TEW8
H3BR36	Q96CW1
D3YTJ7	Q6ZTP6
E9PKD5	H0YLC2
E9PKD5	H0YKT8
A0A087WZL7	Q9BV52
E9PKD5	H0YKS0
O75530	P16402
O75530	P16403
E9PKD5	H0YL69
P36954	Q9BTT4
B4DJB0	B4DJF2
E9PKD5	H0YJS8
E9PKD5	H0YJT1
P47804	Q9Y258
Q13352	Q9Y5P4
O43353	P63279
O60763	Q8TF01
O00507	P0CG48
P30505	Q8NHL6
G3V170	Q9HA47-3
P52630	P63165
O14662	P51809
C9JDU5	I3L331
B7Z1W6	D6RDJ3
O15350	Q9ULJ6
O95365	P10074
P04075	Q9Y6G9
P07900	P52790
P51159	Q96C24
B3KTF7	Q03169
C9JJ64	Q05BV1
C9JDU5	I3L0S1
C9JDU5	I3L164
B3KM48	E7EM64
J3QLA6	Q14738
P15976	P42574
O14920	Q9H6S1
O75022	P06126
C9J809	Q6LAI4
B3KRB7	C9J2V2
P60174	Q9Y283
P33076	Q92769
P36954	Q9BWG4
J3QSA9	P28066
J3QSA9	P28070
O43447	O95816
E9PKD5	H0YMV3
E9PKD5	H0YMZ1
E9PKD5	H0YMA1
E9PKD5	H0YMI6
E9PKD5	H0YN18
P31946	Q8TAF3
P06241	P48023
E9PKD5	H0YLS6
P36954	Q9BWW4
P49736	Q96A08
Q2TAA5	Q9BT22
P53567	Q15744
E9PK25	Q9BYX7
P61247	Q9NY93
B7Z571	Q05CW6
B7Z9M9	E7EVS6
P61247	Q9NX58
B7Z571	Q05BX4
O15164	P11473
M0R050	M0R102
Q02556	Q15306
G3V3U4	H0YJS8
B4DIH5	E7EM64
Q13188	Q14738
O43242	Q14164
G3V3U4	H0YJC0
Q969T4	Q9Y4L5
P15173	Q86X55
H7BZG6	O94973
P06213	P51692
Q01201	Q9NX08
E9PKD5	H0Y561
Q2KQ72	Q58F29
P06213	P51636
H3BR36	Q96PC3
Q96KQ7	Q9Y4A8
G3V3U4	H0YN18
E9PKD5	H0Y3Y9
G3V3U4	H0YMV3
G3V3U4	H0YMZ1
B4DVQ0	D6RG15
B4DJB0	B4DY04
P63151	Q15678
P0C860	Q9H7Z6
P49736	Q96EB6
G3V3U4	H0YLS6
A0A1W2PQS1	Q96IV0
G3V3U4	H0YMA1
Q13123	Q14978
G3V3U4	H0YMI6
Q5BKZ1	Q8N7R0
G3V3U4	H0YKT8
G3V3U4	H0YKS0
G3V3U4	H0YL69
G3V3U4	H0YLC2
P22681	Q8NER1
E9PC44	G3V1W4
P49736	Q96TC7
O15350	Q9UMX3
P53350	Q14974
P55036	Q75L23
P07992	P23526
D3YTJ7	P21108
P00748	P02749
P53350	Q14680
C9JNH8	P49959
E9PC44	G3V3G5
B0QY21	O60684
C9JDU5	I3L4G9
Q96KQ7	Q9Y6K1
B4DRK5	Q9UG64
E9PC44	G3V2R6
E9PQ35	Q9HB74
O00541	Q9H7B2
B4DK55	Q86SW4
B4DMA2	P08238
B4DK55	Q86TW7
B4DK55	Q86TQ8
E9PC44	G3V4V1
Q8TEX9	Q9NVP2
K7EQ16	Q5TDH0
K7EJP1	P30049
A0A1W2PRC2	B3KTA5
A9QM74	O15131
B4DJB0	B4DMT8
P54652	Q9NVP2
P36578	P61221
A0AR27	Q86Y82
P30153	Q15257
P05107	Q92835
C4P0D6	E9PGT1
O60645	Q9Y2V7
P62258	Q99683
B4E3U3	O14653
J3QLA6	Q15173
J3QLA6	Q15172
Q9BWF4	Q9NXL9-4
P07900	P53675
E9PD24	P27348
P53567	Q16520
P53567	Q16534
O75530	P17844
P62258	Q99460
Q7LBC6	Q96KM6
P62258	Q99469
A8K923	B4DI74
P52756	Q9BZS1
P62258	Q99959
A0A024R7U6	B4DDF5
P21453	Q03135
A0A024QYX7	Q24JU4
Q6NUR7	V9HW42
Q8NCG5	Q9NR48
B4DRY7	Q14137
P62258	Q8WV28
P62258	Q99759
O60645	Q9Y2D4
P05107	Q92608
A3KFL1	D6R905
P25490	Q02447
B4DJX9	B7Z1J7
P07947	P10275
P07738	P09104
B4DJX9	B7Z1V5
O00148	P48431
B4DGP9	B7Z5J7
Q15645	Q9NR21
B7Z1Q4	Q9Y587
E7ESK7	Q04917
E7ENZ3	E7ERF2
E7ENZ3	E7EQR6
P31946	Q96BI3
B4DRA5	Q49AI3
O75306	P30519
P35241	Q5T376
P48643	Q12834
A0A0K0K1I8	Q16623
P31946	Q96EB6
P31946	Q96EE3
B4DGP9	B7Z9U2
A0A087WVV1	J3QSA9
P31946	Q96CW1
P13994	P48643
E9PQR7	Q8NEZ2
O14617	Q96NA8
A0A087WVV1	J3QRW1
A0A087WVV1	J3QRR3
